"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","AGE","Age","SEX","Gender","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,61230.4041658943,,
"AUT","Austria","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,61587.1189497226,,
"AUT","Austria","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,56685.3477489958,,
"AUT","Austria","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,70347.0293432431,,
"AUT","Austria","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,70195.3119004924,,
"AUT","Austria","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,70699.3520752522,,
"AUT","Austria","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,78820.3787023334,,
"AUT","Austria","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,75967.9921264609,,
"AUT","Austria","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,82230.8492704445,,
"AUT","Austria","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","F","Women","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","M","Men","NAT_ACTL_YR","""Average annual actual teachers' salaries, in public institutions, in national currency""",,,"0","Units",,,,"m","Missing data"
